"Data.No","SS.No","Type","lambda","gamma","S","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,1,3,0.1,0.316227766016838,0.53,-0.0477710332999855,-0.060523105785904,-0.0297921759609316,-0.0345217535965215
1,1,3,0.1,0.316227766016838,0.54,-0.0552522739678015,-0.0664454313283861,-0.037783595352569,-0.0400717443615485
1,1,3,0.1,0.316227766016838,0.55,-0.0618181174859831,-0.0718286461875931,-0.0448481709309195,-0.0418659511922845
1,1,3,1e-07,0.562341325190349,0.45,-0.0362536908769141,-0.0479123439737537,0.00328457403589594,-0.00555504178053423
1,1,3,1e-07,0.562341325190349,0.46,-0.0390715522948668,-0.0511271135292497,0.00362459188765927,-0.00665099814543604
1,1,3,1e-07,0.562341325190349,0.47,-0.0423199560068204,-0.0545996364597287,0.000807770825627031,-0.0109951830887213
1,1,3,1e-07,0.562341325190349,0.48,-0.0459642307992921,-0.0584507527770959,-0.00329424365493443,-0.0129818794767359
1,1,3,1e-07,0.562341325190349,0.49,-0.0499626243630373,-0.0625218043066182,-0.00672414908139556,-0.0163269691569448
1,1,3,1e-07,0.562341325190349,0.5,-0.0544128726636535,-0.0668300654876226,-0.0112893190384468,-0.0220146336237773
1,1,3,1e-07,0.562341325190349,0.51,-0.0593538213136872,-0.0714129067820987,-0.0163720479285418,-0.0253625913494254
1,1,3,1e-07,0.562341325190349,0.52,-0.0647307835774124,-0.0762635783429807,-0.0213621838962731,-0.0311349650842306
1,1,3,1e-07,0.562341325190349,0.53,-0.0705194120038561,-0.0814452876310287,-0.0284372989684416,-0.0358022061231089
1,1,3,1e-07,0.562341325190349,0.54,-0.0767777687633408,-0.0870387368338078,-0.0346404104782565,-0.0406785769992466
1,1,3,1e-07,0.562341325190349,0.55,-0.0834486965451584,-0.0930353697040558,-0.0423219178557138,-0.0455273574469763
1,1,3,1e-04,0.562341325190349,0.45,-0.0362477965282779,-0.0479082282878758,0.00443561047000378,-0.00524764727323789
1,1,3,1e-04,0.562341325190349,0.46,-0.0390842416545934,-0.051118415418525,0.00272751815131316,-0.00794982355510092
1,1,3,1e-04,0.562341325190349,0.47,-0.0423178940691189,-0.0546019177197093,-0.000248094573788144,-0.0108382688380127
1,1,3,1e-04,0.562341325190349,0.48,-0.0459610195471371,-0.058456258912575,-0.00275713769181465,-0.0143892822165367
1,1,3,1e-04,0.562341325190349,0.49,-0.0499502495469564,-0.0625128399994315,-0.00702977997457456,-0.0174917900505549
1,1,3,1e-04,0.562341325190349,0.5,-0.0544121116474134,-0.0668355440434605,-0.0105927086433314,-0.0216204908961463
