"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
88,3,0.01,1e-07,-0.073393752176135,-0.0867811540857819,-0.00963456157222403,-0.00771901978056258
89,3,0.01,1e-07,-0.0890530129865983,-0.0783180062890802,-0.00503250221154191,0.0025049417062288
90,3,0.01,1e-07,-0.0759108397951719,-0.0843932933032317,0.0078591239782342,-0.00458234246049589
91,3,0.01,1e-07,-0.0835689216827666,-0.0779565694783041,-0.00370430999571271,-0.00725091464926461
92,3,0.01,1e-07,-0.0719879534026417,-0.0929791196541381,-0.00837884533453942,-0.00942608824657967
93,3,0.01,1e-07,-0.0851619054818301,-0.0822931036368875,0.00469814627874739,-0.0113190390417646
94,3,0.01,1e-07,-0.0822423200583142,-0.0799893076062245,-0.00411476065072422,-0.00862554135687678
95,3,0.01,1e-07,-0.0757237079606017,-0.0867983340482385,-0.00269568458564165,0.00788750548720791
96,3,0.01,1e-07,-0.0925098950182088,-0.0718888307003367,-0.00748901032623392,0.00118881005892576
97,3,0.01,1e-07,-0.0775948478575258,-0.082651209766979,0.000254946734254236,-0.00182307169601758
98,3,0.01,1e-07,-0.0888130802774284,-0.0776733006558195,-0.00226629433401114,-0.00163900080973384
99,3,0.01,1e-07,-0.0862198822882465,-0.0733509890690994,0.00798627345543949,0.000844201650871456
100,3,0.01,1e-07,-0.079480366871392,-0.0825250107496383,-0.00542119577986924,-0.00208585239657856
1,3,0.0177827941003892,1e-07,-0.0913109088450317,-0.0733122161569955,-0.00728817133977384,0.00621522848239413
2,3,0.0177827941003892,1e-07,-0.0745930845592802,-0.0849237850629823,0.000102293554339701,-0.0156190626927676
3,3,0.0177827941003892,1e-07,-0.0793141542273611,-0.078647120434287,-0.000113168914049728,0.00106104540115921
4,3,0.0177827941003892,1e-07,-0.0862372320381485,-0.0788271826055062,-0.00324168336556137,-0.00381386952646399
5,3,0.0177827941003892,1e-07,-0.0782243006084895,-0.0903794998511947,0.00908530018581302,-0.00796605743787282
6,3,0.0177827941003892,1e-07,-0.0724809645423822,-0.089814050255642,0.00254005083468163,-0.00285233434998814
7,3,0.0177827941003892,1e-07,-0.0875740117281381,-0.0745592671187999,-0.00499897099867945,0.00512034931644991
8,3,0.0177827941003892,1e-07,-0.0851450756469762,-0.0751122953880476,0.00164459163830271,-0.00404565809043744
9,3,0.0177827941003892,1e-07,-0.0790932331572443,-0.0827874948605929,-0.00286301370707595,-0.00230549035376784
10,3,0.0177827941003892,1e-07,-0.0719472804784303,-0.0861621589954194,0.0042758996658812,-0.0168270930199105
11,3,0.0177827941003892,1e-07,-0.08027561884251,-0.0810499798225828,-0.00802351978149981,0.00256984925704764
12,3,0.0177827941003892,1e-07,-0.0800993188927034,-0.0819108172308832,0.00266777435928355,-0.00870794574762822
13,3,0.0177827941003892,1e-07,-0.072062853125107,-0.091595940390162,-0.00326007853811698,-0.00755064167518625
14,3,0.0177827941003892,1e-07,-0.0714723648130989,-0.0926995336686457,0.00975350727072249,0.00931395693857742
15,3,0.0177827941003892,1e-07,-0.0800668052127071,-0.0828908588063106,-0.000776755508831806,-0.0154311393739392
